"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","alreadycontact","previous","poutcome","priceidx","confidx","euribor3m","y"
"3414","[18.0,41.3)","services","single","basic.9y","no","no","no","cellular","may","wed",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"4033","[41.3,64.7)","admin.","married","unknown","no","yes","no","cellular","aug","mon",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"319","[64.7,88.0]","blue-collar","divorced","basic.4y","unknown","no","no","cellular","aug","thu",1,0,0,"nonexistent","[93.9,94.8]","[-41.2,-36.5)","[0.635,2.840)","no"
"3156","[18.0,41.3)","self-employed","divorced","university.degree","no","unknown","unknown","cellular","jul","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2414","[18.0,41.3)","blue-collar","married","basic.9y","no","no","no","cellular","may","wed",2,0,2,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2008","[18.0,41.3)","blue-collar","married","professional.course","no","no","no","telephone","may","fri",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3725","[18.0,41.3)","admin.","married","basic.9y","no","no","no","cellular","jul","mon",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1803","[18.0,41.3)","admin.","single","high.school","unknown","no","no","telephone","may","thu",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3320","[18.0,41.3)","blue-collar","married","basic.9y","no","yes","no","cellular","apr","thu",1,0,0,"nonexistent","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"2941","[18.0,41.3)","blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue",9,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"31","[18.0,41.3)","management","divorced","university.degree","no","yes","no","cellular","jun","mon",1,1,4,"success","[93.9,94.8]","[-41.2,-36.5)","[0.635,2.840)","yes"
"773","[18.0,41.3)","blue-collar","single","basic.9y","no","yes","no","telephone","jul","mon",7,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"426","[18.0,41.3)","entrepreneur","married","university.degree","no","yes","no","cellular","aug","thu",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1067","[41.3,64.7)","retired","married","professional.course","no","no","no","telephone","may","thu",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2374","[18.0,41.3)","blue-collar","married","basic.9y","no","no","no","telephone","jun","fri",3,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","yes"
"3241","[18.0,41.3)","admin.","married","university.degree","unknown","no","no","telephone","may","thu",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2336","[41.3,64.7)","unemployed","married","basic.9y","no","yes","no","cellular","oct","tue",1,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"1647","[18.0,41.3)","technician","married","professional.course","no","yes","yes","cellular","may","wed",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3399","[18.0,41.3)","self-employed","single","university.degree","no","yes","no","cellular","mar","mon",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[0.635,2.840)","yes"
"4083","[41.3,64.7)","blue-collar","married","basic.4y","unknown","yes","yes","telephone","may","mon",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3276","[18.0,41.3)","unemployed","single","high.school","no","no","no","cellular","may","thu",2,0,0,"nonexistent","[93.1,93.9)","[-41.2,-36.5)","[0.635,2.840)","no"
"246","[18.0,41.3)","unemployed","single","high.school","no","yes","no","cellular","jul","mon",5,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2899","[18.0,41.3)","self-employed","single","university.degree","no","yes","yes","cellular","aug","wed",3,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"4027","[18.0,41.3)","blue-collar","married","basic.9y","no","unknown","unknown","telephone","may","wed",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"139","[18.0,41.3)","unemployed","single","university.degree","no","yes","no","cellular","mar","tue",1,1,1,"success","[93.1,93.9)","[-36.5,-31.7)","[0.635,2.840)","yes"
"2109","[18.0,41.3)","admin.","divorced","high.school","no","no","no","cellular","nov","wed",2,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"3751","[18.0,41.3)","blue-collar","married","basic.9y","no","no","no","telephone","jun","mon",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2012","[41.3,64.7)","blue-collar","married","basic.9y","no","no","no","telephone","may","tue",4,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"882","[41.3,64.7)","admin.","married","university.degree","unknown","yes","no","cellular","aug","tue",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"512","[18.0,41.3)","blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"372","[18.0,41.3)","management","married","basic.6y","unknown","no","no","telephone","jun","mon",5,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1651","[18.0,41.3)","blue-collar","single","basic.9y","unknown","yes","no","telephone","jun","tue",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3374","[41.3,64.7)","entrepreneur","married","basic.9y","unknown","no","no","cellular","may","wed",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3660","[18.0,41.3)","admin.","married","university.degree","no","no","no","cellular","aug","mon",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"552","[18.0,41.3)","blue-collar","married","unknown","unknown","no","yes","telephone","may","wed",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2475","[18.0,41.3)","technician","single","university.degree","no","no","no","cellular","oct","wed",1,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"1712","[41.3,64.7)","retired","married","university.degree","no","yes","no","cellular","jul","fri",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2794","[18.0,41.3)","blue-collar","married","university.degree","no","no","yes","cellular","may","fri",4,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2186","[18.0,41.3)","housemaid","married","basic.4y","no","yes","no","cellular","aug","mon",4,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"43","[18.0,41.3)","admin.","single","university.degree","no","no","no","cellular","sep","fri",3,1,2,"success","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","yes"
"3407","[41.3,64.7)","technician","single","university.degree","no","yes","no","cellular","may","mon",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2891","[18.0,41.3)","blue-collar","single","basic.4y","no","yes","no","cellular","may","fri",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2048","[18.0,41.3)","blue-collar","married","basic.9y","unknown","unknown","unknown","cellular","jul","tue",4,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"348","[18.0,41.3)","technician","married","university.degree","no","yes","no","cellular","may","wed",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2983","[18.0,41.3)","technician","married","professional.course","no","yes","no","cellular","may","mon",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3739","[18.0,41.3)","housemaid","married","basic.6y","unknown","no","no","telephone","jun","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"481","[18.0,41.3)","admin.","married","high.school","no","no","no","telephone","may","mon",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"4019","[18.0,41.3)","student","married","high.school","no","yes","no","telephone","may","wed",1,0,0,"nonexistent","[93.1,93.9)","[-41.2,-36.5)","[0.635,2.840)","no"
"3049","[41.3,64.7)","management","divorced","university.degree","no","no","no","cellular","jul","thu",5,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1361","[41.3,64.7)","self-employed","married","university.degree","no","no","no","cellular","apr","mon",3,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"963","[41.3,64.7)","blue-collar","married","basic.4y","unknown","no","no","cellular","jul","tue",5,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3344","[18.0,41.3)","technician","married","university.degree","unknown","no","no","cellular","aug","thu",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"720","[18.0,41.3)","technician","married","high.school","no","yes","no","telephone","may","thu",6,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1827","[18.0,41.3)","admin.","single","unknown","no","no","no","cellular","jul","tue",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"4012","[41.3,64.7)","retired","married","high.school","no","yes","no","cellular","nov","fri",2,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"2161","[18.0,41.3)","management","married","university.degree","no","no","yes","cellular","nov","wed",1,0,1,"failure","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"1764","[41.3,64.7)","admin.","married","high.school","no","no","yes","cellular","apr","wed",1,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","yes"
"2617","[18.0,41.3)","services","single","high.school","no","no","no","cellular","jul","thu",35,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2448","[41.3,64.7)","blue-collar","married","basic.4y","unknown","yes","no","telephone","may","thu",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"65","[18.0,41.3)","unemployed","single","basic.4y","no","yes","no","cellular","oct","fri",2,1,1,"success","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"1228","[41.3,64.7)","blue-collar","married","professional.course","no","yes","no","cellular","apr","tue",4,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"3309","[41.3,64.7)","admin.","married","university.degree","no","yes","no","cellular","aug","wed",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"2570","[18.0,41.3)","management","married","university.degree","no","yes","no","cellular","nov","mon",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"3663","[41.3,64.7)","management","married","university.degree","no","yes","no","cellular","jul","tue",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1747","[18.0,41.3)","blue-collar","single","basic.9y","no","no","no","cellular","jul","mon",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2743","[41.3,64.7)","admin.","divorced","university.degree","unknown","yes","yes","cellular","jul","tue",9,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"4021","[18.0,41.3)","management","married","university.degree","no","no","no","cellular","aug","wed",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"2149","[41.3,64.7)","technician","married","basic.6y","no","yes","no","cellular","jul","tue",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1644","[18.0,41.3)","services","single","high.school","no","no","no","cellular","jul","fri",3,0,0,"nonexistent","[93.9,94.8]","[-41.2,-36.5)","[0.635,2.840)","yes"
"2451","[41.3,64.7)","technician","married","professional.course","no","yes","no","telephone","may","fri",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","yes"
"2902","[41.3,64.7)","retired","married","basic.4y","no","no","no","cellular","jul","tue",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3906","[41.3,64.7)","blue-collar","married","basic.4y","unknown","yes","no","telephone","may","mon",5,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"230","[18.0,41.3)","management","married","university.degree","no","yes","no","cellular","may","wed",4,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3402","[18.0,41.3)","management","married","high.school","unknown","yes","no","cellular","may","tue",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"168","[18.0,41.3)","entrepreneur","married","university.degree","unknown","yes","no","cellular","nov","mon",2,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"2780","[18.0,41.3)","admin.","married","university.degree","no","yes","no","cellular","aug","tue",6,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1848","[41.3,64.7)","retired","married","basic.6y","no","yes","no","telephone","apr","mon",1,0,0,"nonexistent","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"1006","[41.3,64.7)","admin.","single","basic.6y","no","yes","yes","telephone","may","mon",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3075","[41.3,64.7)","admin.","married","high.school","unknown","no","no","cellular","aug","fri",4,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3934","[41.3,64.7)","admin.","married","basic.6y","unknown","yes","no","telephone","may","tue",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1702","[41.3,64.7)","technician","married","professional.course","no","no","no","cellular","nov","mon",3,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"1229","[18.0,41.3)","blue-collar","single","basic.9y","no","no","no","cellular","may","wed",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3705","[41.3,64.7)","technician","married","professional.course","no","no","no","cellular","jul","wed",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2587","[18.0,41.3)","admin.","single","basic.4y","unknown","no","no","telephone","may","mon",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3596","[18.0,41.3)","technician","married","professional.course","no","yes","no","telephone","jul","mon",17,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3511","[41.3,64.7)","admin.","married","university.degree","unknown","no","no","cellular","aug","tue",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3662","[41.3,64.7)","management","married","university.degree","no","yes","yes","telephone","aug","fri",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"2230","[18.0,41.3)","self-employed","married","university.degree","no","yes","no","cellular","jun","fri",2,0,0,"nonexistent","[92.2,93.1)","[-41.2,-36.5)","[0.635,2.840)","no"
"3237","[18.0,41.3)","admin.","single","university.degree","no","yes","no","cellular","jul","thu",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1112","[41.3,64.7)","blue-collar","married","basic.4y","unknown","yes","yes","telephone","may","mon",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3701","[18.0,41.3)","technician","married","high.school","no","no","no","cellular","aug","tue",5,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"438","[41.3,64.7)","admin.","married","professional.course","no","no","no","cellular","apr","fri",1,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"2504","[18.0,41.3)","technician","married","high.school","no","no","no","cellular","aug","mon",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"2829","[41.3,64.7)","management","married","university.degree","no","yes","no","cellular","may","thu",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"651","[41.3,64.7)","blue-collar","divorced","basic.4y","no","yes","no","cellular","apr","thu",1,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"2456","[18.0,41.3)","technician","divorced","professional.course","no","no","no","cellular","apr","fri",1,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"1901","[41.3,64.7)","services","divorced","basic.4y","unknown","no","no","cellular","jul","wed",6,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3051","[18.0,41.3)","admin.","single","basic.9y","no","no","no","telephone","may","wed",1,0,1,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"506","[41.3,64.7)","services","single","basic.4y","unknown","yes","yes","cellular","may","thu",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"1675","[18.0,41.3)","admin.","married","high.school","unknown","no","no","cellular","may","fri",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","yes"
"3478","[41.3,64.7)","entrepreneur","married","university.degree","no","no","no","cellular","nov","mon",1,0,1,"failure","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"2767","[18.0,41.3)","technician","single","professional.course","no","no","no","cellular","jul","mon",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","yes"
"76","[18.0,41.3)","blue-collar","married","basic.9y","no","no","no","cellular","nov","mon",2,1,1,"success","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","yes"
"3607","[41.3,64.7)","admin.","married","university.degree","no","no","no","cellular","aug","mon",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3631","[18.0,41.3)","admin.","married","university.degree","unknown","yes","no","cellular","nov","thu",2,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"1237","[64.7,88.0]","housemaid","divorced","basic.4y","unknown","yes","no","telephone","oct","fri",2,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"1327","[18.0,41.3)","entrepreneur","divorced","basic.6y","no","no","yes","cellular","may","thu",1,0,1,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"296","[41.3,64.7)","technician","divorced","professional.course","no","yes","yes","cellular","jul","tue",14,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3513","[18.0,41.3)","blue-collar","married","basic.4y","no","no","no","telephone","may","mon",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1287","[18.0,41.3)","blue-collar","single","basic.4y","no","yes","no","cellular","may","fri",9,0,1,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3375","[18.0,41.3)","admin.","married","university.degree","no","yes","no","cellular","may","wed",2,0,1,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"1317","[18.0,41.3)","blue-collar","married","professional.course","unknown","yes","no","telephone","jun","fri",5,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"964","[18.0,41.3)","entrepreneur","married","basic.4y","no","no","no","cellular","jul","tue",4,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3408","[18.0,41.3)","admin.","single","university.degree","no","no","no","cellular","oct","mon",2,0,1,"failure","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"494","[41.3,64.7)","technician","married","basic.9y","no","yes","no","cellular","nov","fri",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"3030","[64.7,88.0]","retired","married","basic.9y","no","yes","no","telephone","oct","thu",1,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"140","[18.0,41.3)","student","single","high.school","no","no","no","cellular","mar","fri",5,1,2,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","yes"
"1178","[41.3,64.7)","retired","married","basic.4y","unknown","no","yes","cellular","jul","tue",4,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3046","[41.3,64.7)","retired","married","university.degree","no","yes","no","cellular","oct","mon",2,0,0,"nonexistent","[93.9,94.8]","[-50.8,-46.0)","[0.635,2.840)","no"
"2042","[18.0,41.3)","technician","single","high.school","no","yes","no","telephone","apr","thu",2,0,2,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"194","[41.3,64.7)","technician","married","university.degree","no","no","no","cellular","aug","thu",7,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3853","[41.3,64.7)","blue-collar","married","basic.4y","no","no","no","telephone","jun","fri",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3801","[41.3,64.7)","technician","married","basic.9y","unknown","no","no","telephone","may","fri",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1606","[18.0,41.3)","admin.","married","university.degree","no","yes","no","cellular","aug","thu",3,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1420","[41.3,64.7)","management","married","university.degree","no","no","no","cellular","aug","thu",4,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1968","[41.3,64.7)","blue-collar","married","basic.9y","unknown","no","no","telephone","jun","wed",6,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"442","[18.0,41.3)","admin.","single","university.degree","no","yes","yes","telephone","may","wed",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3571","[18.0,41.3)","admin.","married","university.degree","unknown","no","no","cellular","aug","mon",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1797","[41.3,64.7)","admin.","married","high.school","no","no","no","cellular","nov","tue",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"1729","[41.3,64.7)","blue-collar","single","basic.9y","no","yes","no","cellular","apr","fri",1,0,0,"nonexistent","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"369","[18.0,41.3)","student","single","high.school","no","no","yes","cellular","jul","fri",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2402","[41.3,64.7)","blue-collar","married","basic.4y","unknown","yes","no","cellular","jul","mon",3,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1507","[18.0,41.3)","technician","single","high.school","no","yes","no","cellular","aug","tue",6,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"2463","[41.3,64.7)","technician","married","professional.course","no","yes","no","cellular","nov","tue",2,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"145","[18.0,41.3)","admin.","married","university.degree","no","yes","no","cellular","nov","fri",1,1,1,"success","[93.9,94.8]","[-50.8,-46.0)","[0.635,2.840)","yes"
"2581","[18.0,41.3)","admin.","single","high.school","no","no","no","cellular","oct","mon",1,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"848","[18.0,41.3)","management","divorced","university.degree","no","yes","no","cellular","may","mon",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3527","[18.0,41.3)","technician","single","university.degree","no","no","no","cellular","nov","mon",3,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"3444","[18.0,41.3)","blue-collar","single","professional.course","no","yes","no","cellular","nov","tue",2,0,0,"nonexistent","[93.9,94.8]","[-50.8,-46.0)","[0.635,2.840)","no"
"2980","[18.0,41.3)","admin.","single","unknown","no","yes","no","cellular","mar","mon",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[0.635,2.840)","yes"
"22","[18.0,41.3)","admin.","single","university.degree","no","no","no","cellular","may","tue",1,1,1,"success","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3728","[18.0,41.3)","admin.","single","high.school","unknown","no","no","cellular","jul","wed",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1316","[41.3,64.7)","services","divorced","basic.4y","no","yes","no","telephone","jun","fri",6,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1438","[41.3,64.7)","services","married","high.school","unknown","yes","no","cellular","apr","mon",1,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"2234","[18.0,41.3)","blue-collar","single","high.school","no","no","no","cellular","may","fri",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"3591","[18.0,41.3)","admin.","single","high.school","no","no","no","telephone","may","thu",22,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1967","[18.0,41.3)","admin.","single","university.degree","no","no","no","telephone","may","fri",8,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3189","[41.3,64.7)","services","married","professional.course","no","yes","no","telephone","may","fri",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3268","[41.3,64.7)","management","married","university.degree","no","yes","no","cellular","aug","tue",8,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"432","[18.0,41.3)","housemaid","single","high.school","unknown","yes","yes","telephone","jul","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3426","[18.0,41.3)","technician","single","professional.course","no","yes","no","cellular","apr","fri",2,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"3450","[18.0,41.3)","self-employed","single","high.school","no","yes","yes","cellular","may","tue",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"1356","[18.0,41.3)","blue-collar","single","basic.9y","unknown","yes","no","cellular","jul","mon",8,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"273","[41.3,64.7)","services","married","high.school","unknown","no","no","telephone","may","thu",4,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"700","[18.0,41.3)","technician","married","professional.course","no","no","no","cellular","apr","thu",1,0,0,"nonexistent","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","yes"
